"day_of_week","member_casual","number_of_rides","mean_ride_length","max_ride_length","min_ride_length"
"Sunday","casual",60299,1790.40450090383,2016224,0
"Sunday","member",116373,713.289079081918,89996,0
"Monday","casual",46659,1326.61092179429,1176756,0
"Monday","member",157547,623.139786857255,89996,0
"Tuesday","casual",60527,1200.06450014043,1103729,0
"Tuesday","member",198849,635.774336305438,89996,0
"Wednesday","casual",63687,1248.5849702451,1131946,0
"Wednesday","member",196394,637.663365479597,89996,0
"Thursday","casual",68523,1308.40367467858,1002844,0
"Thursday","member",191224,647.203510019663,89996,0
"Friday","casual",66240,1339.90155495169,1149426,0
"Friday","member",160142,656.802650147994,89996,0
"Saturday","casual",72215,1768.30492279997,925311,0
"Saturday","member",126830,717.478680122999,93580,0
